RectangleKiller | LeftTopX:383 LeftTopY:180 RightBottomX:509 RightBottomY:346 
RectangleKiller | LeftTopX:407 LeftTopY:207 RightBottomX:430 RightBottomY:257 
RectangleKiller | LeftTopX:450 LeftTopY:214 RightBottomX:497 RightBottomY:344 
LineKiller | LeftX:419 LeftY:204 RightX:426 RightY:272 
LineKiller | LeftX:403 LeftY:227 RightX:429 RightY:228 
TriangleKiller | LeftX:373 LeftY:179 TopX:445 TopY:50 RightX:516 RightY:179 
EllipseKiller | LeftTopX:305 LeftTopY:111 RightBottomX:203 RightBottomY:0 
LineKiller | LeftX:58 LeftY:420 RightX:105 RightY:421 
LineKiller | LeftX:105 LeftY:421 RightX:112 RightY:407 
LineKiller | LeftX:112 LeftY:407 RightX:123 RightY:397 
LineKiller | LeftX:123 LeftY:397 RightX:138 RightY:396 
LineKiller | LeftX:141 LeftY:396 RightX:159 RightY:400 
LineKiller | LeftX:161 LeftY:401 RightX:161 RightY:402 
LineKiller | LeftX:164 LeftY:404 RightX:170 RightY:409 
LineKiller | LeftX:171 LeftY:413 RightX:174 RightY:418 
LineKiller | LeftX:174 LeftY:418 RightX:270 RightY:418 
LineKiller | LeftX:270 LeftY:418 RightX:272 RightY:409 
LineKiller | LeftX:273 LeftY:406 RightX:281 RightY:395 
LineKiller | LeftX:281 LeftY:395 RightX:292 RightY:393 
LineKiller | LeftX:292 LeftY:393 RightX:308 RightY:393 
LineKiller | LeftX:308 LeftY:393 RightX:318 RightY:398 
LineKiller | LeftX:319 LeftY:399 RightX:327 RightY:408 
LineKiller | LeftX:328 LeftY:409 RightX:337 RightY:419 
LineKiller | LeftX:337 LeftY:419 RightX:360 RightY:421 
LineKiller | LeftX:362 LeftY:421 RightX:391 RightY:421 
LineKiller | LeftX:393 LeftY:421 RightX:409 RightY:421 
LineKiller | LeftX:409 LeftY:421 RightX:407 RightY:405 
LineKiller | LeftX:406 LeftY:404 RightX:404 RightY:379 
LineKiller | LeftX:404 LeftY:379 RightX:258 RightY:366 
LineKiller | LeftX:258 LeftY:366 RightX:234 RightY:325 
LineKiller | LeftX:234 LeftY:325 RightX:85 RightY:325 
LineKiller | LeftX:85 LeftY:325 RightX:59 RightY:367 
LineKiller | LeftX:59 LeftY:367 RightX:56 RightY:421 
LineKiller | LeftX:90 LeftY:335 RightX:73 RightY:369 
LineKiller | LeftX:73 LeftY:369 RightX:109 RightY:369 
LineKiller | LeftX:109 LeftY:369 RightX:108 RightY:337 
LineKiller | LeftX:108 LeftY:337 RightX:89 RightY:335 
LineKiller | LeftX:157 LeftY:340 RightX:159 RightY:364 
LineKiller | LeftX:159 LeftY:364 RightX:249 RightY:365 
LineKiller | LeftX:249 LeftY:365 RightX:232 RightY:335 
LineKiller | LeftX:232 LeftY:335 RightX:155 RightY:336 
EllipseKiller | LeftTopX:120 LeftTopY:405 RightBottomX:167 RightBottomY:447 
EllipseKiller | LeftTopX:276 LeftTopY:403 RightBottomX:325 RightBottomY:441 
LineKiller | LeftX:185 LeftY:386 RightX:199 RightY:386 
LineKiller | LeftX:174 LeftY:371 RightX:178 RightY:406 
LineKiller | LeftX:252 LeftY:375 RightX:249 RightY:412 
LineKiller | LeftX:108 LeftY:338 RightX:152 RightY:336 
LineKiller | LeftX:109 LeftY:364 RightX:160 RightY:363 
EllipseKiller | LeftTopX:138 LeftTopY:419 RightBottomX:152 RightBottomY:434 
EllipseKiller | LeftTopX:295 LeftTopY:418 RightBottomX:304 RightBottomY:425 
EllipseKiller | LeftTopX:402 LeftTopY:383 RightBottomX:407 RightBottomY:403 
EllipseKiller | LeftTopX:58 LeftTopY:380 RightBottomX:60 RightBottomY:401 
LineKiller | LeftX:521 LeftY:263 RightX:930 RightY:269 
LineKiller | LeftX:377 LeftY:261 RightX:-70 RightY:261 
LineKiller | LeftX:475 LeftY:370 RightX:543 RightY:509 
LineKiller | LeftX:507 LeftY:364 RightX:685 RightY:539 
